localizer,"AP, HUGO","95% CI, HUGO","η, HUGO","nAURC(0.10), HUGO","AP, MiPOD","95% CI, MiPOD","η, MiPOD","nAURC(0.10), MiPOD","AP, S-UNIWARD","95% CI, S-UNIWARD","η, S-UNIWARD","nAURC(0.10), S-UNIWARD"
uniform (floor),0.007,"[0.007, 0.007]",0.00,0.050,0.006,"[0.005, 0.006]",0.00,0.050,0.006,"[0.006, 0.006]",0.00,0.050
texture energy,0.073,"[0.070, 0.076]",0.59,0.385,0.012,"[0.011, 0.012]",0.31,0.114,0.020,"[0.019, 0.021]",0.44,0.186
gradient magnitude,0.066,"[0.063, 0.069]",0.53,0.354,0.009,"[0.008, 0.009]",0.15,0.078,0.014,"[0.013, 0.015]",0.25,0.136
Laplacian residual,0.057,"[0.055, 0.060]",0.45,0.327,0.012,"[0.011, 0.012]",0.31,0.121,0.020,"[0.019, 0.021]",0.42,0.186
local variance,0.045,"[0.043, 0.047]",0.34,0.275,0.008,"[0.008, 0.009]",0.14,0.067,0.014,"[0.013, 0.015]",0.25,0.127
local entropy,0.051,"[0.049, 0.054]",0.39,0.305,0.010,"[0.009, 0.010]",0.21,0.088,0.017,"[0.016, 0.018]",0.34,0.154
wavelet energy,0.018,"[0.017, 0.019]",0.10,0.136,0.010,"[0.010, 0.011]",0.23,0.102,0.013,"[0.013, 0.014]",0.23,0.127
SRM residual,0.073,"[0.070, 0.076]",0.58,0.380,0.012,"[0.011, 0.013]",0.32,0.116,0.021,"[0.020, 0.022]",0.46,0.189
oracle (ceiling),0.119,"[0.115, 0.123]",1.00,0.511,0.026,"[0.024, 0.027]",1.00,0.217,0.039,"[0.037, 0.041]",1.00,0.290
