config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate,repeats,mean_sd_carrier_recall
hugo_alpha0p001,HUGO,0.001,0.005,0.5,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,1311.0,1311000,248,0.6584,0.0005022120518688025,0.02463412026361991,1311.0,0.6584,0.0005022120518688025,10,0.028258840719918972
hugo_alpha0p001,HUGO,0.001,0.01,1.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,2621.0,2621000,822,1.2791000000000001,0.0004880198397558183,0.04799101073822857,1310.0,0.6207,0.0004738167938931297,10,0.03977448538207456
hugo_alpha0p001,HUGO,0.001,0.02,2.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,5243.0,5243000,2028,2.4766,0.00047236315086782377,0.09282778153921611,2622.0,1.1975,0.0004567124332570557,10,0.054109501668618984
hugo_alpha0p001,HUGO,0.001,0.05,5.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,13107.0,13107000,5270,5.721,0.00043648432135500115,0.21577352137217212,7864.0,3.2443999999999997,0.00041256358087487285,10,0.07652493179924508
hugo_alpha0p001,HUGO,0.001,0.1,10.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,26214.0,26214000,9656,10.095899999999999,0.00038513389791714354,0.38385412240819994,13107.0,4.374899999999999,0.0003337834744792859,10,0.08814644264164383
hugo_alpha0p001,HUGO,0.001,0.2,20.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,52429.0,52429000,15626,16.0767,0.00030663754792195164,0.6190322342298077,26215.0,5.9808,0.00022814419225634182,10,0.08528145457644755
hugo_alpha0p001,HUGO,0.001,0.3,30.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,78643.0,78643000,19271,19.7279,0.00025085385857609704,0.7666533304853017,26214.0,3.6512,0.00013928435187304493,10,0.07218245543684279
hugo_alpha0p001,HUGO,0.001,0.4,40.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,104858.0,104858000,21574,22.0304,0.0002100974651433367,0.8618517369569109,26215.0,2.3025,8.783139423993896e-05,10,0.057322709535878376
hugo_alpha0p001,HUGO,0.001,0.5,50.0,1000,262144.0,25.25,25.25,9.632110595703125e-05,0.009632110595703125,131072.0,131072000,22990,23.453599999999998,0.00017893676757812498,0.9219668341136794,26214.0,1.4231999999999998,5.429159990844586e-05,10,0.04305879861049138
hugo_alpha0p0025,HUGO,0.0025,0.005,0.5,1000,262144.0,68.703,68.703,0.0002620811462402344,0.026208114624023438,1311.0,1311000,1181,1.6399000000000001,0.0012508771929824563,0.02241890246800957,1311.0,1.6399000000000001,0.0012508771929824563,10,0.01655640944618252
