method,alpha,localizer,n_images,mean_average_precision,ap_ci_lo,ap_ci_hi,mean_roc_auc,floor_ap,oracle_ap,ap_efficiency,mean_recall_at_1,recall_at_1_ci_lo,recall_at_1_ci_hi,mean_lift_at_1,mean_recall_at_5,recall_at_5_ci_lo,recall_at_5_ci_hi,mean_lift_at_5,mean_recall_at_10,recall_at_10_ci_lo,recall_at_10_ci_hi,mean_lift_at_10,mean_recall_at_20,recall_at_20_ci_lo,recall_at_20_ci_hi,mean_lift_at_20,mean_recall_at_30,recall_at_30_ci_lo,recall_at_30_ci_hi,mean_lift_at_30,mean_recall_at_40,recall_at_40_ci_lo,recall_at_40_ci_hi,mean_lift_at_40,mean_recall_at_50,recall_at_50_ci_lo,recall_at_50_ci_hi,mean_lift_at_50
HUGO,0.03,laplacian_residual_cover,100,0.046857989284521076,0.04016332315118128,0.05357453394982345,0.8039030101440484,0.004250030517578125,0.11318521506600432,0.3911312854847366,0.1677318592158634,0.15385780223264295,0.1810665372578903,16.77318592158634,0.40360887794451095,0.38017636030737856,0.4263490584896091,8.07217755889022,0.5389253820527559,0.5136278740779674,0.5633170066349268,5.389253820527558,0.6810558740300577,0.6573996777217711,0.7035835892052653,3.405279370150288,0.7635833829415895,0.7425816987070809,0.7824127519215437,2.5452779431386308,0.8192750549219254,0.8022644292289093,0.8355704115589501,2.0481876373048133,0.8613322970409211,0.8471504842610214,0.8744991018355351,1.7226645940818421
HUGO,0.03,laplacian_residual_stego,100,0.053160502644845925,0.04428120687013473,0.06399410996676624,0.8136545595572724,0.004250030517578125,0.11318521506600432,0.4489869120800459,0.1805552059552146,0.16540186845140434,0.19793218218000452,18.055520595521465,0.42305970922828956,0.39972501450012093,0.44681673176798253,8.461194184565791,0.5575814041544764,0.5340806494939079,0.5809461414273,5.575814041544764,0.6985633803271526,0.6776106616755345,0.7190886532522491,3.4928169016357615,0.7769990723050494,0.7592525442169028,0.7940595866563936,2.5899969076834974,0.8307943058844535,0.8158570497661022,0.8448182347880423,2.0769857647111336,0.8708478576810798,0.8584067074139239,0.8823217210718558,1.7416957153621595
HUGO,0.03,local_variance_cover,100,0.038345791543345914,0.0322352741992088,0.04458073681243863,0.8510617921311817,0.004250030517578125,0.11318521506600432,0.31299126326454074,0.12400515932728824,0.10947819893657515,0.13968490764695968,12.400515932728826,0.3625699141209536,0.3305431113796321,0.3948304044491766,7.251398282419075,0.535342444755979,0.49641071834220735,0.5721862074852594,5.35342444755979,0.7322513656916415,0.6971754935338813,0.7673882058728599,3.6612568284582068,0.839949796512012,0.8116775179648872,0.8666876656311547,2.7998326550400408,0.9061020641640017,0.8850698397291723,0.9248044444530745,2.265255160410004,0.9455548997334081,0.9306640452079978,0.9587145757826167,1.8911097994668162
HUGO,0.03,local_variance_stego,100,0.0383552754649702,0.0322430748324708,0.04459282545697376,0.8512496018438721,0.004250030517578125,0.11318521506600432,0.3130783234890549,0.12394028288083922,0.1094105397492507,0.13967133387635858,12.394028288083922,0.3627543713252229,0.33074144309347003,0.39504593584735037,7.255087426504458,0.5354405938169021,0.4964376391068496,0.5722595072750869,5.354405938169021,0.7323541500047098,0.6972250759165264,0.7674492567759831,3.6617707500235483,0.8401253816579595,0.8119760892348161,0.8667633478199724,2.8004179388598653,0.9064847977119181,0.8855768093112875,0.9251274965743054,2.266211994279795,0.9459695612927771,0.93123606136924,0.9589886842873986,1.8919391225855542
HUGO,0.03,oracle,100,0.11318521506600432,0.1000464632776636,0.1262998410461633,0.9452326385445672,0.004250030517578125,0.11318521506600432,1.0,0.2963594857781994,0.27663218373935206,0.31518251833583677,29.635948577819942,0.6810199038146676,0.6497208443031347,0.7099994846945658,13.620398076293348,0.8353591493971939,0.8090204723803978,0.8593341850305909,8.353591493971939,0.9372176848750605,0.9207031870443185,0.9510496800494642,4.686088424375304,0.9722275108249192,0.9624858137888319,0.980136641297818,3.240758369416397,0.9869477659050544,0.9806872909997439,0.9917128103361565,2.467369414762636,0.9937311517759653,0.9897876949876844,0.99651541212067,1.9874623035519305
HUGO,0.03,srm_residual_cover,100,0.06294431451851656,0.05327805891967253,0.07261853399537445,0.8820127726029718,0.004250030517578125,0.11318521506600432,0.5388000602766354,0.1920243304206413,0.17360179535455283,0.2101307956037836,19.202433042064136,0.49352533266743803,0.45951628748269124,0.5245893709734952,9.870506653348759,0.6547046223607867,0.6188261476389453,0.6863241431076589,6.547046223607867,0.8083016156120933,0.7797479320877165,0.8326405045764316,4.041508078060466,0.882241039113954,0.8611037109632319,0.900339168126985,2.94080346371318,0.9246833330784874,0.9092057567852878,0.9383732314481354,2.3117083326962184,0.9522244297526966,0.9409770453256534,0.9622841629916496,1.9044488595053932
HUGO,0.03,srm_residual_stego,100,0.0679493275317472,0.05786636201926911,0.07863142205178986,0.8897077503040509,0.004250030517578125,0.11318521506600432,0.5847449313848834,0.20243495390175759,0.18412956996949537,0.22116119080704222,20.243495390175767,0.5102272534796627,0.4778689621513346,0.5415869910901417,10.204545069593253,0.6719991614379189,0.639780778383781,0.7029152641959683,6.719991614379188,0.8222216274447035,0.7968406572170091,0.8458706563642999,4.111108137223517,0.8937721321998839,0.8755848968503147,0.9101790719686396,2.9792404406662802,0.9337049010784664,0.9204327053176914,0.9455523792214431,2.334262252696165,0.9588564234490973,0.949703958333764,0.9669353313509487,1.9177128468981945
HUGO,0.03,texture_energy_cover,100,0.06326372605569822,0.053952278700589204,0.07252348619660856,0.8920186279526447,0.004250030517578125,0.11318521506600432,0.5417321849019869,0.1937758535956244,0.17633690498764987,0.21058552027966337,19.377585359562445,0.49576577035003255,0.46419264353899803,0.5249811419080391,9.915315407000652,0.6687026567361397,0.6357934363928137,0.6983388303707878,6.6870265673613964,0.8281967526613394,0.8022715508400502,0.8514062513525077,4.140983763306696,0.9007550004068129,0.8817341265467911,0.917525727250956,3.0025166680227096,0.9413771426526193,0.9276738163656223,0.9531830745488936,2.353442856631548,0.9648132968607647,0.9553889342219829,0.9727833072962632,1.9296265937215293
HUGO,0.03,texture_energy_stego,100,0.06869704744930026,0.05828407982857512,0.07978887147180173,0.898194166918873,0.004250030517578125,0.11318521506600432,0.5916088286707109,0.20443866223174278,0.18605278057506439,0.22405466803897212,20.443866223174272,0.513112050522474,0.48199006801870226,0.5425893440790887,10.262241010449479,0.6853371233176171,0.6545930015487549,0.7140474768721959,6.853371233176169,0.8403594463646372,0.8174029552354032,0.8616146927876868,4.201797231823186,0.9092742316534138,0.8931983479793694,0.923900297013932,3.03091410551138,0.9472919560172376,0.936104436856224,0.9571947220548592,2.3682298900430934,0.9696918753132637,0.96260991275887,0.9762081549299262,1.9393837506265275
HUGO,0.03,uniform,100,0.004250030517578125,0.004120264053344726,0.004364510536193848,0.5,0.004250030517578125,0.11318521506600432,0.0,0.009999999999999998,0.009999999999999998,0.009999999999999998,1.0,0.04999999999999999,0.04999999999999999,0.04999999999999999,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,1.0,0.3,0.3,0.3,1.0,0.3999999999999999,0.3999999999999999,0.3999999999999999,1.0,0.5,0.5,0.5,1.0
