config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate,repeats,mean_sd_carrier_recall
hugo_alpha0p005,HUGO,0.005,0.01,1.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,2621.0,2621000,1046,1.4909000000000001,0.0005688286913391834,0.01013870022910506,1310.0,0.7426,0.0005668702290076336,10,0.008114925954535364
hugo_alpha0p005,HUGO,0.005,0.02,2.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,5243.0,5243000,2518,2.9581,0.0005641998855617014,0.020125835069009477,2622.0,1.4671999999999998,0.0005595728451563692,10,0.01148337675547389
hugo_alpha0p005,HUGO,0.005,0.05,5.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,13107.0,13107000,6920,7.3919,0.0005639658197909514,0.05028829471513122,7864.0,4.433799999999999,0.0005638097660223804,10,0.017602603158253252
hugo_alpha0p005,HUGO,0.005,0.1,10.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,26214.0,26214000,14290,14.748299999999999,0.0005626115815976196,0.10030454875366385,13107.0,7.3564,0.0005612573434042878,10,0.02434449504440517
hugo_alpha0p005,HUGO,0.005,0.2,20.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,52429.0,52429000,28928,29.4008,0.0005607736176543516,0.20009314944093906,26215.0,14.6525,0.0005589357238222392,10,0.03259744132872049
hugo_alpha0p005,HUGO,0.005,0.3,30.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,78643.0,78643000,43660,44.122699999999995,0.0005610505702986914,0.30027901995991957,26214.0,14.7219,0.0005616044861524376,10,0.03748112931801015
hugo_alpha0p005,HUGO,0.005,0.4,40.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,104858.0,104858000,58400,58.8539,0.0005612723874191764,0.40054901530302844,26215.0,14.731200000000001,0.0005619378218577151,10,0.039528207805645574
hugo_alpha0p005,HUGO,0.005,0.5,50.0,1000,262144.0,146.916,146.916,0.0005604400634765625,0.05604400634765625,131072.0,131072000,73102,73.5503,0.0005611442565917968,0.5006429665477957,26214.0,14.6964,0.0005606317235065233,10,0.04036640283623999
hugo_alpha0p01,HUGO,0.01,0.005,0.5,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,1311.0,1311000,1135,1.5809000000000002,0.0012058733790999234,0.005005845821525361,1311.0,1.5809000000000002,0.0012058733790999234,10,0.0038915529382318745
hugo_alpha0p01,HUGO,0.01,0.01,1.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,2621.0,2621000,2704,3.1611,0.0012060663868752384,0.010009145390002857,1310.0,1.5801999999999998,0.0012062595419847328,10,0.0055037898052496285
