distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
texture_energy,stego,MIPOD,0.1,0.3,0.41695231013735146,0.017956603893544244,1.3898410337911715
texture_energy,stego,MIPOD,0.1,0.4,0.5339828893714427,0.017180406835911426,1.3349572234286067
texture_energy,stego,MIPOD,0.1,0.5,0.6402277775808585,0.016416651153564454,1.280455555161717
texture_energy,stego,MIPOD,0.2,0.01,0.015210244361761436,0.04701491797024037,1.5210244361761436
texture_energy,stego,MIPOD,0.2,0.05,0.07502945346691399,0.04631251239795529,1.5005890693382797
texture_energy,stego,MIPOD,0.2,0.1,0.14759626755529234,0.0454709315632868,1.4759626755529234
texture_energy,stego,MIPOD,0.2,0.2,0.2852862571457611,0.04377294054816991,1.4264312857288055
texture_energy,stego,MIPOD,0.2,0.3,0.4126638737085775,0.04203899520618491,1.3755462456952583
texture_energy,stego,MIPOD,0.2,0.4,0.5297234592444483,0.04030537393427302,1.3243086481111206
texture_energy,stego,MIPOD,0.2,0.5,0.6362979119455802,0.0385725601196289,1.2725958238911603
texture_energy,stego,MIPOD,0.3,0.01,0.014923546043265191,0.07747584891262878,1.492354604326519
texture_energy,stego,MIPOD,0.3,0.05,0.07376096323621252,0.07648877698939498,1.4752192647242504
texture_energy,stego,MIPOD,0.3,0.1,0.14530672421443336,0.0752277256427863,1.4530672421443336
texture_energy,stego,MIPOD,0.3,0.2,0.2815600898701018,0.07263092754010185,1.4078004493505087
texture_energy,stego,MIPOD,0.3,0.3,0.40838252662476626,0.06996474447821167,1.3612750887492209
texture_energy,stego,MIPOD,0.3,0.4,0.5254097427404066,0.06724118522191917,1.3135243568510164
texture_energy,stego,MIPOD,0.3,0.5,0.6324410157692553,0.06448670806884765,1.2648820315385105
texture_energy,stego,MIPOD,0.4,0.01,0.014651017452056573,0.11083765738267837,1.4651017452056574
texture_energy,stego,MIPOD,0.4,0.05,0.07243481263282847,0.10949124132143129,1.4486962526565694
texture_energy,stego,MIPOD,0.4,0.1,0.14287835076006644,0.10784471656366827,1.4287835076006643
texture_energy,stego,MIPOD,0.4,0.2,0.27764768059930495,0.10447966201911156,1.3882384029965247
texture_energy,stego,MIPOD,0.4,0.3,0.4037883206819795,0.10096467454191727,1.3459610689399317
texture_energy,stego,MIPOD,0.4,0.4,0.5207803443160679,0.09730864121001737,1.3019508607901698
texture_energy,stego,MIPOD,0.4,0.5,0.6282182769752761,0.09354568328857422,1.2564365539505522
texture_energy,stego,MIPOD,0.5,0.01,0.014335287388893664,0.14616306753147654,1.4335287388893665
texture_energy,stego,MIPOD,0.5,0.05,0.07104628894446566,0.14474861524376287,1.420925778889313
texture_energy,stego,MIPOD,0.5,0.1,0.14037128425932416,0.1428496910048066,1.4037128425932415
texture_energy,stego,MIPOD,0.5,0.2,0.27353876875138894,0.13884886608556332,1.3676938437569446
texture_energy,stego,MIPOD,0.5,0.3,0.39887360374996544,0.13460577419477895,1.3295786791665516
texture_energy,stego,MIPOD,0.5,0.4,0.51576622280955,0.1301264100020981,1.2894155570238748
texture_energy,stego,MIPOD,0.5,0.5,0.6236374657790847,0.1254323486328125,1.2472749315581695
laplacian_residual,stego,MIPOD,0.03,0.01,0.016452532908425528,0.005107134681419305,1.6452532908425528
laplacian_residual,stego,MIPOD,0.03,0.05,0.08057237384684046,0.004992690928511482,1.6114474769368092
laplacian_residual,stego,MIPOD,0.03,0.1,0.15717757875940075,0.004859502555886168,1.5717757875940075
laplacian_residual,stego,MIPOD,0.03,0.2,0.2989956993488344,0.004603795609300197,1.494978496744172
laplacian_residual,stego,MIPOD,0.03,0.3,0.42658696097089077,0.004362807878641455,1.421956536569636
laplacian_residual,stego,MIPOD,0.03,0.4,0.5408312343538808,0.004134106124473097,1.352078085884702
laplacian_residual,stego,MIPOD,0.03,0.5,0.6428138022213803,0.003918538665771484,1.2856276044427606
laplacian_residual,stego,MIPOD,0.05,0.01,0.016375122489105054,0.009284738649370468,1.6375122489105054
laplacian_residual,stego,MIPOD,0.05,0.05,0.08024716236535828,0.00908355840390631,1.6049432473071656
laplacian_residual,stego,MIPOD,0.05,0.1,0.15665613514284854,0.008848050659952698,1.5665613514284853
laplacian_residual,stego,MIPOD,0.05,0.2,0.29822941896576083,0.008385994392416411,1.4911470948288041
laplacian_residual,stego,MIPOD,0.05,0.3,0.4256700410775079,0.00794829164706331,1.4189001369250263
laplacian_residual,stego,MIPOD,0.05,0.4,0.5397369243471425,0.007530621411814073,1.3493423108678562
laplacian_residual,stego,MIPOD,0.05,0.5,0.6417332625366191,0.007138587188720703,1.2834665250732382
laplacian_residual,stego,MIPOD,0.1,0.01,0.01619015870406939,0.02116650133536818,1.6190158704069388
laplacian_residual,stego,MIPOD,0.1,0.05,0.07945876809818829,0.020737674525062946,1.5891753619637656
laplacian_residual,stego,MIPOD,0.1,0.1,0.15520710530828438,0.020206591897459374,1.5520710530828437
laplacian_residual,stego,MIPOD,0.1,0.2,0.2959167340137131,0.019175284670697516,1.4795836700685654
laplacian_residual,stego,MIPOD,0.1,0.3,0.4231240221450787,0.01819828719657185,1.4104134071502625
laplacian_residual,stego,MIPOD,0.1,0.4,0.5374959486649412,0.017266854221900094,1.343739871662353
laplacian_residual,stego,MIPOD,0.1,0.5,0.6398179916461997,0.01638054656982422,1.2796359832923994
laplacian_residual,stego,MIPOD,0.2,0.01,0.0158778809804085,0.049092903471957265,1.58778809804085
laplacian_residual,stego,MIPOD,0.2,0.05,0.07796962702488336,0.048127924010070953,1.5593925404976672
laplacian_residual,stego,MIPOD,0.2,0.1,0.15260579919013648,0.04699807736324102,1.5260579919013646
laplacian_residual,stego,MIPOD,0.2,0.2,0.2920919483261761,0.044772164260237654,1.4604597416308802
laplacian_residual,stego,MIPOD,0.2,0.3,0.4188467700140487,0.042606497717533665,1.396155900046829
laplacian_residual,stego,MIPOD,0.2,0.4,0.5333651487721104,0.04051279921417536,1.3334128719302758
laplacian_residual,stego,MIPOD,0.2,0.5,0.6362547803508842,0.03850173873901367,1.2725095607017685
laplacian_residual,stego,MIPOD,0.3,0.01,0.01552108071343933,0.08059931323922168,1.552108071343933
laplacian_residual,stego,MIPOD,0.3,0.05,0.07647661738116394,0.07930300602731366,1.5295323476232787
laplacian_residual,stego,MIPOD,0.3,0.1,0.14999003643750639,0.07762058442053865,1.4999003643750637
laplacian_residual,stego,MIPOD,0.3,0.2,0.2881744708509248,0.07426177878654942,1.4408723542546238
laplacian_residual,stego,MIPOD,0.3,0.3,0.4144682995133759,0.07090261688897931,1.3815609983779196
laplacian_residual,stego,MIPOD,0.3,0.4,0.5292105897293155,0.06760874897480403,1.3230264743232885
laplacian_residual,stego,MIPOD,0.3,0.5,0.6326565977878684,0.06439074249267578,1.2653131955757368
laplacian_residual,stego,MIPOD,0.4,0.01,0.015197290721118986,0.11499278901182756,1.5197290721118986
laplacian_residual,stego,MIPOD,0.4,0.05,0.07500565399085225,0.11335463492790111,1.500113079817045
laplacian_residual,stego,MIPOD,0.4,0.1,0.1473970201604687,0.11121134508278019,1.473970201604687
laplacian_residual,stego,MIPOD,0.4,0.2,0.284107277006442,0.10680941654427895,1.42053638503221
laplacian_residual,stego,MIPOD,0.4,0.3,0.4099950359172465,0.10237061022595782,1.3666501197241552
laplacian_residual,stego,MIPOD,0.4,0.4,0.5248993352178217,0.09790914665547694,1.3122483380445542
laplacian_residual,stego,MIPOD,0.4,0.5,0.6288976043101225,0.09347329559326172,1.257795208620245
laplacian_residual,stego,MIPOD,0.5,0.01,0.01486018649583745,0.1514820679130103,1.486018649583745
laplacian_residual,stego,MIPOD,0.5,0.05,0.07342722092064476,0.1495507972838941,1.468544418412895
laplacian_residual,stego,MIPOD,0.5,0.1,0.14459567405510593,0.14707051194018464,1.4459567405510592
laplacian_residual,stego,MIPOD,0.5,0.2,0.279763070209651,0.14187794731923173,1.398815351048255
laplacian_residual,stego,MIPOD,0.5,0.3,0.4050363521599095,0.13650504685731726,1.3501211738663652
laplacian_residual,stego,MIPOD,0.5,0.4,0.5201313253573202,0.13101224989986457,1.3003283133933004
laplacian_residual,stego,MIPOD,0.5,0.5,0.6247622381769272,0.1254329689025879,1.2495244763538544
local_variance,stego,MIPOD,0.03,0.01,0.013557063860640659,0.004205379626096909,1.355706386064066
local_variance,stego,MIPOD,0.03,0.05,0.06750384535302235,0.004181994354161898,1.350076907060447
local_variance,stego,MIPOD,0.03,0.1,0.13485935367833599,0.004171721217669948,1.3485935367833597
local_variance,stego,MIPOD,0.03,0.2,0.2673428895738672,0.004124433042781667,1.336714447869336
local_variance,stego,MIPOD,0.03,0.3,0.3946930651039095,0.004048165761733403,1.315643550346365
local_variance,stego,MIPOD,0.03,0.4,0.5145222213369408,0.0039457056209349795,1.286305553342352
local_variance,stego,MIPOD,0.03,0.5,0.6252141769958153,0.0038232757568359373,1.2504283539916305
local_variance,stego,MIPOD,0.05,0.01,0.013436384946606256,0.007609996184662342,1.3436384946606257
local_variance,stego,MIPOD,0.05,0.05,0.06735810596599622,0.007622453650720988,1.3471621193199241
local_variance,stego,MIPOD,0.05,0.1,0.1345156803056619,0.007602742809185932,1.345156803056619
local_variance,stego,MIPOD,0.05,0.2,0.2668743813261493,0.007521125712868832,1.3343719066307465
local_variance,stego,MIPOD,0.05,0.3,0.3939991255633433,0.007380208028686596,1.3133304185444779
local_variance,stego,MIPOD,0.05,0.4,0.5137839236985458,0.007193745827690782,1.2844598092463644
local_variance,stego,MIPOD,0.05,0.5,0.6243726159990597,0.006969248199462891,1.2487452319981194
local_variance,stego,MIPOD,0.1,0.01,0.013398509613730158,0.017500267073636017,1.3398509613730158
local_variance,stego,MIPOD,0.1,0.05,0.06696053819929589,0.017476317998016327,1.3392107639859177
local_variance,stego,MIPOD,0.1,0.1,0.13384344723749536,0.017446494239719234,1.3384344723749535
local_variance,stego,MIPOD,0.1,0.2,0.26572702321369746,0.01726780789257854,1.3286351160684873
local_variance,stego,MIPOD,0.1,0.3,0.39259406965201543,0.016949998092646513,1.3086468988400515
local_variance,stego,MIPOD,0.1,0.4,0.512118540432273,0.01652018539357989,1.2802963510806824
local_variance,stego,MIPOD,0.1,0.5,0.6227379072660069,0.016007022094726563,1.2454758145320137
local_variance,stego,MIPOD,0.2,0.01,0.013249089314265328,0.04096367798550172,1.3249089314265328
local_variance,stego,MIPOD,0.2,0.05,0.06640778205272162,0.04103019760433356,1.3281556410544322
local_variance,stego,MIPOD,0.2,0.1,0.1327052780064371,0.04095583276112001,1.327052780064371
local_variance,stego,MIPOD,0.2,0.2,0.2635525486225618,0.04054809170497244,1.3177627431128087
local_variance,stego,MIPOD,0.2,0.3,0.3897065008968792,0.03982426407944763,1.299021669656264
local_variance,stego,MIPOD,0.2,0.4,0.5089247055954677,0.03884407102939213,1.272311763988669
local_variance,stego,MIPOD,0.2,0.5,0.6194938489927807,0.03766001663208008,1.2389876979855614
local_variance,stego,MIPOD,0.3,0.01,0.013100005457613249,0.06807474246470813,1.3100005457613249
local_variance,stego,MIPOD,0.3,0.05,0.06563336003241621,0.06816446936751354,1.3126672006483242
local_variance,stego,MIPOD,0.3,0.1,0.13130922294805258,0.06812936598764019,1.3130922294805258
local_variance,stego,MIPOD,0.3,0.2,0.2612138488863815,0.06759202349844552,1.3060692444319073
local_variance,stego,MIPOD,0.3,0.3,0.3867128130956662,0.06648503108986177,1.2890427103188873
local_variance,stego,MIPOD,0.3,0.4,0.5055902479398184,0.06492958000343321,1.263975619849546
local_variance,stego,MIPOD,0.3,0.5,0.6162580807081658,0.06303241119384766,1.2325161614163316
local_variance,stego,MIPOD,0.4,0.01,0.01294780266113234,0.09809439145364365,1.294780266113234
local_variance,stego,MIPOD,0.4,0.05,0.0649024939562856,0.09827830930037385,1.2980498791257118
local_variance,stego,MIPOD,0.4,0.1,0.12991014930813,0.09829034103913939,1.2991014930812999
local_variance,stego,MIPOD,0.4,0.2,0.2586523294687804,0.0976507524461653,1.293261647343902
local_variance,stego,MIPOD,0.4,0.3,0.3834043888601613,0.09622265681624557,1.278014629533871
local_variance,stego,MIPOD,0.4,0.4,0.5020006338541195,0.0941434711705354,1.2550015846352987
local_variance,stego,MIPOD,0.4,0.5,0.6127418272433061,0.09153955001831054,1.2254836544866121
local_variance,stego,MIPOD,0.5,0.01,0.012791286972946722,0.13065764975200306,1.2791286972946723
local_variance,stego,MIPOD,0.5,0.05,0.06412718435205807,0.13092372777904937,1.2825436870411613
local_variance,stego,MIPOD,0.5,0.1,0.1283793827406654,0.130982719157702,1.283793827406654
local_variance,stego,MIPOD,0.5,0.2,0.25580943867436473,0.13028021705544643,1.2790471933718235
local_variance,stego,MIPOD,0.5,0.3,0.37966701823694576,0.12860140508373283,1.2655567274564858
local_variance,stego,MIPOD,0.5,0.4,0.4978673592555393,0.12607682008048982,1.2446683981388482
local_variance,stego,MIPOD,0.5,0.5,0.6087070408028871,0.12283792266845703,1.2174140816057741
wavelet_energy,stego,MIPOD,0.03,0.01,0.01394137656746812,0.0043139641358260206,1.394137656746812
wavelet_energy,stego,MIPOD,0.03,0.05,0.06906710165462905,0.00426928358892195,1.381342033092581
wavelet_energy,stego,MIPOD,0.03,0.1,0.13640868494607852,0.004210059510185397,1.3640868494607852
wavelet_energy,stego,MIPOD,0.03,0.2,0.2650370024344796,0.004078309714089531,1.3251850121723978
wavelet_energy,stego,MIPOD,0.03,0.3,0.3862464366320955,0.003950946683112292,1.2874881221069852
