method,alpha,localizer,n_images,mean_average_precision,ap_ci_lo,ap_ci_hi,mean_roc_auc,floor_ap,oracle_ap,ap_efficiency,mean_recall_at_1,recall_at_1_ci_lo,recall_at_1_ci_hi,mean_lift_at_1,mean_recall_at_5,recall_at_5_ci_lo,recall_at_5_ci_hi,mean_lift_at_5,mean_recall_at_10,recall_at_10_ci_lo,recall_at_10_ci_hi,mean_lift_at_10,mean_recall_at_20,recall_at_20_ci_lo,recall_at_20_ci_hi,mean_lift_at_20,mean_recall_at_30,recall_at_30_ci_lo,recall_at_30_ci_hi,mean_lift_at_30,mean_recall_at_40,recall_at_40_ci_lo,recall_at_40_ci_hi,mean_lift_at_40,mean_recall_at_50,recall_at_50_ci_lo,recall_at_50_ci_hi,mean_lift_at_50
MIPOD,0.03,laplacian_residual_cover,10000,0.005476676788876364,0.005402415261734746,0.005555683191440973,0.6092146435938098,0.003012699890136719,0.014835474588605988,0.20840935918863987,0.02594299225851206,0.025570426088905338,0.026328221093249962,2.5942992258512056,0.11143985594464964,0.11026363224658406,0.1126732869909568,2.2287971188929925,0.20066655286438714,0.1989266941841293,0.20251031286714086,2.0066655286438713,0.3455287477056018,0.3431419034528316,0.3478967524143577,1.727643738528009,0.46297843734575456,0.46043292421613624,0.46545508419034964,1.5432614578191821,0.563489673391072,0.5610155650791725,0.5658719304288711,1.40872418347768,0.6517691297276514,0.6495051873326423,0.6538877195285476,1.3035382594553029
MIPOD,0.03,laplacian_residual_stego,10000,0.006193157472756201,0.006084535071884173,0.006305844628576251,0.6326990641904872,0.003012699890136719,0.014835474588605988,0.26901109627262587,0.02888602071194622,0.028379057659984972,0.02939125351024183,2.8886020711946214,0.12382618704356724,0.1223397343997663,0.12533908356789702,2.4765237408713445,0.22171864245266834,0.21959675437327267,0.22396962680428273,2.2171864245266835,0.37699536446442067,0.3743615106808643,0.3798205270246605,1.8849768223221033,0.4989420068983546,0.49627670008733654,0.5018258938486667,1.6631400229945152,0.5994257409682546,0.5968821307954829,0.6021002256168908,1.4985643524206365,0.6849771763676503,0.6826611954614291,0.687324579638292,1.3699543527353006
MIPOD,0.03,local_variance_cover,10000,0.004493921936784833,0.004436092461856046,0.004557844705983069,0.6033047500657021,0.003012699890136719,0.014835474588605988,0.12528548368936548,0.011076952474795442,0.010838279058722622,0.011320501234427391,1.1076952474795443,0.06370987211685131,0.06276544429821922,0.06470571080487043,1.2741974423370261,0.13554534277690442,0.13391780056145736,0.13730715373680555,1.3554534277690442,0.28099370196091483,0.27837865614742263,0.2837736291448766,1.4049685098045739,0.41969470779832074,0.4165956225993794,0.42301543444329565,1.398982359327736,0.5466609948075078,0.5433597118595022,0.550063697211802,1.3666524870187695,0.6599832409330724,0.6568410893994364,0.663109203036319,1.3199664818661447
MIPOD,0.03,local_variance_stego,10000,0.004495704966613195,0.0044375826164673735,0.004559728531297958,0.6034503153268702,0.003012699890136719,0.014835474588605988,0.12543629683381227,0.01107937161315905,0.010839338923220084,0.011323354421281344,1.1079371613159053,0.06372221446484634,0.0627816279248521,0.06472118612500329,1.2744442892969265,0.13558360605840325,0.13394369362664768,0.13733754950734028,1.3558360605840323,0.28106650914942194,0.2784427594445198,0.28383973755541153,1.4053325457471095,0.4198258881546104,0.41673361451726926,0.42314364169673097,1.399419627182035,0.5468248484898258,0.5435378945228729,0.5502089247959856,1.3670621212245646,0.660158100994712,0.6570135592418576,0.663279080578893,1.320316201989424
MIPOD,0.03,oracle,10000,0.014835474588605988,0.014525114845225584,0.015180164758581338,0.7512072234476141,0.003012699890136719,0.014835474588605988,1.0,0.07498790403396008,0.07390946829783983,0.07612176923637601,7.498790403396009,0.2358194279476471,0.23331249359812425,0.23838827660520118,4.716388558952943,0.36685455781827647,0.3636616852128495,0.36995974352624844,3.668545578182765,0.5455555648200104,0.5421270898796835,0.5488323643470093,2.727777824100052,0.6692793096620773,0.6661351433580446,0.6722256514668093,2.2309310322069242,0.7616498198291591,0.7589646557835502,0.7641320953397858,1.904124549572898,0.8327213291223353,0.830540159243677,0.8347571546994584,1.6654426582446706
MIPOD,0.03,srm_residual_cover,10000,0.00589553261628369,0.005806930742967689,0.00599113735015851,0.6372323255245935,0.003012699890136719,0.014835474588605988,0.24383723784571656,0.024278669463085857,0.02390449824091017,0.0246507630074544,2.427866946308586,0.10978094913806336,0.10851751232280137,0.11109374113424429,2.195618982761266,0.2044043933469707,0.2024665300579322,0.2064464576068477,2.0440439334697067,0.3636734051148663,0.3609197190790683,0.3664704168212076,1.818367025574331,0.49344725450643634,0.4904347076523145,0.496435089869247,1.6448241816881215,0.6023726854083812,0.5994400363218813,0.605277426051803,1.5059317135209527,0.6956040433193018,0.692986361418879,0.6981917720159433,1.3912080866386036
MIPOD,0.03,srm_residual_stego,10000,0.006348458977849592,0.0062457980288963535,0.006454527511391398,0.6548061765092827,0.003012699890136719,0.014835474588605988,0.28214688791665493,0.02600154404650687,0.025577429504375953,0.02644321320695886,2.6001544046506866,0.11705218814075906,0.11568716835562341,0.11843436541487741,2.3410437628151803,0.21751940642779236,0.2154074420588507,0.21972994734442933,2.1751940642779233,0.38494587994493534,0.3819848388478166,0.3879149017556238,1.9247293997246764,0.5191615239390146,0.5160090650642046,0.5223130140745699,1.7305384131300485,0.629201823447511,0.6262046441789768,0.6322617358932091,1.5730045586187773,0.7212922341163585,0.7186094528538246,0.7240150754906411,1.442584468232717
MIPOD,0.03,texture_energy_cover,10000,0.005647569806923739,0.005567589554556958,0.005735451999678248,0.6284162030874666,0.003012699890136719,0.014835474588605988,0.22286392018687157,0.023946980645400833,0.02358928869158341,0.02431450659120711,2.394698064540083,0.10734610284001435,0.10617611478462935,0.10862597910130804,2.146922056800287,0.19891307666607705,0.19707356421607036,0.2009267434827228,1.9891307666607703,0.35329086451441544,0.35067445171504635,0.3559659015690485,1.7664543225720772,0.48061664425645295,0.47770457276555855,0.48353409092561594,1.6020554808548435,0.5888920948528567,0.5859736360662867,0.5917622703614625,1.4722302371321416,0.6825902402718188,0.6799697715992101,0.6851643059694541,1.3651804805436376
MIPOD,0.03,texture_energy_stego,10000,0.006154556538743062,0.0060512095263715905,0.006262741445042579,0.6478505881155665,0.003012699890136719,0.014835474588605988,0.2657461322521124,0.02587897825905277,0.025430439114595273,0.026335634833080147,2.5878978259052774,0.11529217044357483,0.11393460631756575,0.11670584090863947,2.305843408871496,0.21314853406686762,0.21111338765575857,0.21535917951035782,2.1314853406686765,0.3765077487053206,0.3737092109992301,0.37944754070882014,1.8825387435266028,0.5089224171953313,0.5058971420311597,0.5121399547315754,1.6964080573177707,0.6186363968598536,0.6156545890184362,0.6216720485236836,1.5465909921496337,0.7111487265382093,0.7083920766070386,0.7139115871282601,1.4222974530764185
MIPOD,0.03,uniform,10000,0.003012699890136719,0.003007340106964111,0.003018220691680908,0.5,0.003012699890136719,0.014835474588605988,0.0,0.01,0.01,0.01,1.0,0.049999999999999996,0.049999999999999996,0.049999999999999996,1.0,0.09999999999999999,0.09999999999999999,0.09999999999999999,1.0,0.19999999999999998,0.19999999999999998,0.19999999999999998,1.0,0.3,0.3,0.3,1.0,0.39999999999999997,0.39999999999999997,0.39999999999999997,1.0,0.5,0.5,0.5,1.0
